EQUIPMENTID,HOUR,LANE_BUNDLE_DIRECTION,NR_LANES,TOTAL_VOLUME,AVG_SPEED_ARITHMETIC,AVG_SPEED_HARMONIC,OCCUPANCY
121725,08:00:00,C,2,198,91.43566666666666,88.989,12.024777777777778
121725,08:05:00,C,2,201,90.54066666666667,88.00655555555555,12.26288888888889
121725,08:10:00,C,2,205,89.92477777777778,87.51844444444444,12.336333333333332
121725,08:15:00,C,2,203,86.58255555555556,83.81111111111112,13.812444444444443
121725,08:20:00,C,2,206,82.27077777777778,78.19922222222223,16.17366666666667
121725,08:25:00,C,2,194,80.17399999999999,76.28,17.622777777777777
121725,08:30:00,C,2,188,77.67044444444444,72.57944444444443,17.647666666666666
121725,08:35:00,C,2,184,75.21355555555556,70.33944444444445,19.41611111111111
121725,08:40:00,C,2,181,73.41788888888888,68.24833333333333,21.003555555555554
121725,08:45:00,C,2,180,74.9588888888889,70.01844444444444,20.359555555555556
121725,08:50:00,C,2,177,78.52344444444444,74.25855555555556,17.935555555555556
121725,08:55:00,C,2,170,82.45955555555555,78.70111111111112,16.466
121725,09:00:00,C,2,166,86.25377777777778,82.29555555555557,13.589888888888888
121725,09:05:00,C,2,159,89.57022222222221,86.10111111111111,12.059444444444443
121725,09:10:00,C,2,158,90.62377777777778,87.26277777777777,12.105777777777778
121725,09:15:00,C,2,159,92.28033333333333,89.376,10.675666666666668
121725,09:20:00,C,2,159,93.26066666666668,90.13544444444445,10.571777777777779
121725,09:25:00,C,2,161,93.78844444444444,90.75166666666667,10.154555555555556
121725,09:30:00,C,2,155,94.60622222222221,91.73366666666668,9.750333333333334
121725,09:35:00,C,2,159,95.086,92.23655555555557,9.662666666666667
121725,09:40:00,C,2,159,95.304,92.07866666666666,9.691
121725,09:45:00,C,2,164,95.6688888888889,92.89833333333334,9.375666666666666
121725,09:50:00,C,2,158,96.51333333333334,93.70777777777779,8.953666666666667
121725,09:55:00,C,2,157,96.14444444444445,93.17266666666667,8.963555555555557
121725,10:00:00,C,2,150,96.72233333333334,93.89577777777778,8.306111111111111
121725,10:05:00,C,2,146,95.8288888888889,92.99266666666666,8.234111111111112
121725,10:10:00,C,2,148,95.97099999999999,93.07622222222223,8.293888888888889
121725,10:15:00,C,2,148,96.01685393258427,93.19561797752809,8.307303370786517
121725,10:20:00,C,2,148,96.0161797752809,93.24651685393259,8.242696629213484
121725,10:25:00,C,2,146,96.2852808988764,93.5005617977528,8.198314606741572
121725,10:30:00,C,2,147,96.5552808988764,93.79865168539325,8.105393258426966
121726,08:00:00,C,3,252,64.921375,59.44075,23.559874999999998
121726,08:00:00,D,3,208,93.589,89.06625,9.01425
121726,08:05:00,C,3,249,61.7495,56.5145,26.05625
121726,08:05:00,D,3,221,93.96975,89.60862499999999,9.385
121726,08:10:00,C,3,245,59.945375,54.302499999999995,27.834625
121726,08:10:00,D,3,228,94.55675,90.12837499999999,9.677625
121726,08:15:00,C,3,256,60.089375,54.52737499999999,26.270125
121726,08:15:00,D,3,234,93.2085,89.143125,10.72475
121726,08:20:00,C,3,236,57.512125000000005,51.802499999999995,28.64375
121726,08:20:00,D,3,243,92.782375,88.5385,11.08275
121726,08:25:00,C,3,231,56.517375,50.96,30.048624999999998
121726,08:25:00,D,3,250,91.64862500000001,87.31637500000001,11.41075
121726,08:30:00,C,3,217,55.7555,49.728875,31.881124999999997
121726,08:30:00,D,3,247,91.6455,87.34049999999999,11.385
121726,08:35:00,C,3,223,55.17775,48.831625,32.066
121726,08:35:00,D,3,250,91.65,87.142375,11.259625
121726,08:40:00,C,3,235,55.575750000000006,49.283375,31.582875
121726,08:40:00,D,3,260,91.677125,87.100125,11.723125
121726,08:45:00,C,3,236,55.666250000000005,49.869375000000005,31.837124999999997
121726,08:45:00,D,3,265,91.517875,87.011375,11.84525
121726,08:50:00,C,3,227,55.420624999999994,49.2395,32.668375
121726,08:50:00,D,3,257,91.222125,86.68674999999999,11.708875
121726,08:55:00,C,3,229,57.87175,52.54875,30.007625
121726,08:55:00,D,3,252,92.3025,87.43025,11.143625
121726,09:00:00,C,3,214,56.92937500000001,50.452,31.482125000000003
121726,09:00:00,D,3,238,92.6585,87.98775,10.47475
121726,09:05:00,C,3,226,58.9575,53.572874999999996,29.208125000000003
121726,09:05:00,D,3,232,92.57525000000001,87.851,10.345
121726,09:10:00,C,3,235,63.111875,57.73075,25.5975
121726,09:10:00,D,3,233,92.120375,87.33862500000001,10.220125
121726,09:15:00,C,3,239,66.648375,61.899874999999994,24.227125
121726,09:15:00,D,3,229,91.954,87.13175,10.255125
121726,09:20:00,C,3,243,69.42675,64.856375,22.206625
121726,09:20:00,D,3,222,92.04762500000001,87.4365,9.868375
121726,09:25:00,C,3,246,72.03936708860759,67.49240506329113,20.428734177215187
121726,09:25:00,D,3,216,92.53734177215189,87.94291139240507,9.563670886075949
121726,09:30:00,C,3,246,74.55037974683543,69.95518987341772,19.57240506329114
121726,09:30:00,D,3,208,91.62455696202532,87.01556962025317,9.721392405063291
121726,09:35:00,C,3,245,76.5479746835443,71.92240506329114,18.664556962025316
121726,09:35:00,D,3,208,91.64430379746835,87.16658227848102,9.939873417721518
121726,09:40:00,C,3,262,78.2226582278481,74.31924050632912,17.43746835443038
121726,09:40:00,D,3,202,91.89417721518988,87.46759493670885,9.628481012658227
121726,09:45:00,C,3,266,81.37594936708861,77.48759493670886,15.95746835443038
121726,09:45:00,D,3,201,91.89050632911393,87.31949367088608,9.594936708860759
121726,09:50:00,C,3,263,83.476582278481,79.71215189873418,14.21012658227848
